spread,target_median,number_KNN,ABS Metrics ,fsignal
2715,2273,3,0.19,0
,,,,
712,703,4,0.01,0
,,,,
781,784,4,0,0
,,,,
1267,2273,3,0.44,0
,,,,
3489,2219,2,0.57,1
,,,,
4262,1764,7,1.42,0
,,,,
879,861,4,0.02,0
,,,,
1764,1764,7,0,0
,,,,
1123,1046,2,0.07,0
,,,,
2868,2084,2,0.38,0
,,,,
5880,3338,4,0.76,0
,,,,
580,728,6,0.2,0
,,,,
735,1512,4,0.51,0
,,,,
1041,3338,4,0.69,0
,,,,
782,861,4,0.09,0
,,,,
952,952,1,0,0
,,,,
1252,1764,7,0.29,0
,,,,
883,904,4,0.02,0
,,,,
985,989,3,0,0
,,,,
2329,2846,2,0.18,0
,,,,
981,993,13,0.01,0
,,,,
978,993,13,0.02,0
,,,,
1275,1628,19,0.22,0
,,,,
1443,993,13,0.45,1
,,,,
2951,1628,19,0.81,0
,,,,
1042,1088,4,0.04,0
,,,,
1377,1628,19,0.15,0
,,,,
968,993,13,0.03,0
,,,,
1148,1628,19,0.29,0
,,,,
1300,993,13,0.31,0
,,,,
1594,1628,19,0.02,0
,,,,
993,993,13,0,0
,,,,
1294,1628,19,0.21,0
,,,,
1039,1008,6,0.03,1
,,,,
2043,1628,19,0.25,1
,,,,
1101,1140,2,0.03,0
,,,,
1992,2141,23,0.07,0
,,,,
1150,1039,7,0.11,0
,,,,
1907,2141,23,0.11,0
,,,,
1145,1112,6,0.03,0
,,,,
2415,2141,23,0.13,0
,,,,
1431,1075,3,0.33,0
,,,,
3352,2141,23,0.57,1
,,,,
972,1106,10,0.12,0
,,,,
1553,2141,23,0.27,0
,,,,
1646,1039,7,0.58,0
,,,,
2737,2141,23,0.28,0
,,,,
1079,1112,6,0.03,1
,,,,
2140,2141,23,0,0
,,,,
1197,1058,5,0.13,0
,,,,
2549,2670,5,0.05,0
,,,,
1063,1106,10,0.04,0
,,,,
2290,2141,23,0.07,1
,,,,
917,1039,7,0.12,0
,,,,
2050,2141,23,0.04,0
,,,,
1189,1085,3,0.1,0
,,,,
1950,1957,5,0,0
,,,,
1158,1186,4,0.02,0
,,,,
2011,1957,5,0.03,0
,,,,
1260,1068,19,0.18,0
,,,,
2525,2108,23,0.2,0
,,,,
1184,1064,12,0.11,1
,,,,
2614,2108,23,0.24,1
,,,,
1068,1068,19,0,0
,,,,
1352,2108,23,0.36,0
,,,,
2299,2378,14,0.03,0
,,,,
1070,1068,19,0,0
,,,,
1557,2108,23,0.26,0
,,,,
1203,1187,3,0.01,0
,,,,
2434,2108,23,0.15,0
,,,,
1068,1068,19,0,0
,,,,
1582,2108,23,0.25,0
,,,,
1058,1068,19,0.01,0
,,,,
2239,2108,23,0.06,0
,,,,
1261,1068,19,0.18,0
,,,,
3391,2108,23,0.61,0
,,,,
833,1064,12,0.22,0
,,,,
1577,1506,13,0.05,0
,,,,
2393,2378,14,0.01,0
,,,,
946,946,4,0,0
,,,,
1505,1506,13,0,0
,,,,
1664,2378,14,0.3,0
,,,,
974,1064,12,0.08,0
,,,,
1760,2108,23,0.17,0
,,,,
1063,1068,19,0,0
,,,,
1877,2108,23,0.11,0
,,,,
996,996,21,0,0
,,,,
1266,1266,1,0,0
,,,,
957,1008,5,0.05,0
,,,,
1508,1538,2,0.02,0
,,,,
1008,1008,5,0,0
,,,,
1361,1419,27,0.04,0
,,,,
1004,996,21,0.01,0
,,,,
1455,1419,27,0.03,0
,,,,
1839,1796,13,0.02,0
,,,,
1066,974,8,0.09,0
,,,,
1735,1419,27,0.22,0
,,,,
1142,1102,2,0.04,0
,,,,
1146,1205,2,0.05,0
,,,,
1398,1408,2,0.01,0
,,,,
1498,1561,2,0.04,0
,,,,
3163,3163,3,0,0
,,,,
3555,3555,3,0,0
,,,,
1142,996,21,0.15,0
,,,,
1398,1419,27,0.01,0
,,,,
3163,1796,13,0.76,0
,,,,
986,1034,2,0.05,0
,,,,
1451,1362,5,0.07,0
,,,,
1791,1796,13,0,0
,,,,
3261,3261,1,0,0
,,,,
993,993,1,0,0
,,,,
1343,1343,1,0,0
,,,,
1643,1643,1,0,0
,,,,
3008,3008,1,0,0
,,,,
952,1150,2,0.17,1
,,,,
1335,1419,27,0.06,0
,,,,
1780,1796,13,0.01,0
,,,,
907,907,3,0,0
,,,,
1507,1284,6,0.17,0
,,,,
1639,1818,6,0.1,0
,,,,
992,996,21,0,0
,,,,
1617,1419,27,0.14,0
,,,,
1978,1796,13,0.1,0
,,,,
814,824,14,0.01,0
,,,,
1559,1533,15,0.02,0
,,,,
644,824,14,0.22,0
,,,,
1699,1533,15,0.11,0
,,,,
960,960,1,0,0
,,,,
1401,1401,1,0,0
,,,,
2713,2730,4,0.01,0
,,,,
3055,3055,1,0,0
,,,,
821,824,14,0,0
,,,,
1161,1533,15,0.24,0
,,,,
920,965,3,0.05,0
,,,,
1861,1533,15,0.21,0
,,,,
1002,1002,1,0,0
,,,,
1004,1004,1,0,0
,,,,
1548,1548,1,0,0
,,,,
1558,1558,1,0,0
,,,,
2733,2733,1,0,0
,,,,
2743,2743,1,0,0
,,,,
1000,824,14,0.21,0
,,,,
1548,1533,15,0.01,0
,,,,
2733,2730,4,0,0
,,,,
947,947,1,0,0
,,,,
1692,1674,5,0.01,0
,,,,
813,813,1,0,0
,,,,
1120,1281,2,0.13,0
,,,,
622,772,2,0.19,0
,,,,
1137,1345,4,0.15,0
,,,,
215,188,2,0.14,1
,,,,
73,76,2,-0.04,1
,,,,
105,105,1,0,1
,,,,
694,694,1,0,1
,,,,
890,890,1,0,1
,,,,
1330,1330,1,0,1
,,,,
890,890,1,0,1
,,,,
1330,1330,1,0,1
,,,,
754,754,1,0,1
,,,,
269,269,1,0,1
,,,,
260,260,1,0,1
,,,,
460,460,1,0,1
,,,,
639,639,3,0,1
,,,,
80,80,1,0,1
,,,,
408,408,1,0,1
,,,,
390,371,2,0.05,1
,,,,
435,751,2,-0.42,1
,,,,
816,816,1,0,1
,,,,
220,220,1,0,1
,,,,
267,267,1,0,1
,,,,
452,451,2,0,1
,,,,
527,513,2,0.03,1
,,,,
132,147,2,-0.1,1
,,,,
281,281,1,0,1
,,,,
260,260,1,0,1
,,,,
281,281,1,0,1
,,,,
260,260,1,0,1
,,,,
975,975,1,0,1
,,,,
288,288,1,0,1
,,,,
2156,2156,1,0,1
,,,,
2156,2156,1,0,1
,,,,
3714,3714,1,0,1
,,,,
2156,2156,1,0,1
,,,,
2156,2156,1,0,1
,,,,
3714,3714,1,0,1
,,,,
2156,2156,1,0,1
,,,,
2156,2156,1,0,1
,,,,
3714,3714,1,0,1
,,,,
4501,4501,1,0,1
,,,,
4501,4501,1,0,1
,,,,
4501,4501,1,0,1
,,,,
4501,4501,1,0,1
,,,,
27067,176,3,152.79,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4049,4049,1,0,1
,,,,
4260,4260,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4071,4071,1,0,1
,,,,
4838,4838,1,0,1
,,,,
4838,4838,1,0,1
,,,,
84980,84980,1,0,1
,,,,
99657,99647,3,0,1
,,,,
99647,75271,2,0.32,1
,,,,
99657,99647,3,0,1
,,,,
99647,75271,2,0.32,1
,,,,
121,121,1,0,1
,,,,
135,154,30,-0.12,1
,,,,
1060,1547,17,-0.31,1
,,,,
744,713,4,0.04,1
,,,,
542,473,3,0.15,1
,,,,
542,473,3,0.15,1
,,,,
542,473,3,0.15,1
,,,,
542,473,3,0.15,1
,,,,
569,569,1,0,1
,,,,
569,569,1,0,1
,,,,
569,569,1,0,1
,,,,
569,569,1,0,1
,,,,
9843,9843,1,0,1
,,,,
73265,73265,1,0,1
,,,,
99753,99753,1,0,1
,,,,
99753,99753,1,0,1
,,,,
99753,99753,1,0,1
,,,,
99753,99753,1,0,1
,,,,
99753,99753,1,0,1
,,,,
99753,99753,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
79619,79619,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
4108,4108,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
4108,4108,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
4108,4108,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
1166,1166,1,0,1
,,,,
4108,4108,1,0,1
,,,,
338,363,43,-0.07,1
,,,,
354,395,29,-0.1,1
,,,,
274,280,6,-0.02,1
,,,,
544,284,6,0.92,1
,,,,
274,280,6,-0.02,1
,,,,
544,284,6,0.92,1
,,,,
365,328,4,0.11,1
,,,,
1135,1135,1,0,1
,,,,
1508,1465,9,0.03,1
,,,,
347,348,43,0,1
,,,,
401,343,17,0.17,1
,,,,
390,297,31,0.31,1
,,,,
401,343,17,0.17,1
,,,,
390,297,31,0.31,1
,,,,
781,780,17,0,1
,,,,
1262,1102,15,0.15,1
,,,,
2262,2262,27,0,1
,,,,
181,172,8,0.05,1
,,,,
377,377,1,0,1
,,,,
3616,2886,4,0.25,1
,,,,
595,516,23,0.15,1
,,,,
548,472,19,0.16,1
,,,,
500,487,30,0.03,1
,,,,
523,486,35,0.08,1
,,,,
523,486,35,0.08,1
,,,,
595,516,23,0.15,1
,,,,
548,472,19,0.16,1
,,,,
500,487,30,0.03,1
,,,,
523,486,35,0.08,1
,,,,
523,486,35,0.08,1
,,,,
595,516,23,0.15,1
,,,,
548,472,19,0.16,1
,,,,
500,487,30,0.03,1
,,,,
523,486,35,0.08,1
,,,,
523,486,35,0.08,1
,,,,
595,516,23,0.15,1
,,,,
548,472,19,0.16,1
,,,,
500,487,30,0.03,1
,,,,
523,486,35,0.08,1
,,,,
523,486,35,0.08,1
,,,,
595,516,23,0.15,1
,,,,
548,472,19,0.16,1
,,,,
500,487,30,0.03,1
,,,,
523,486,35,0.08,1
,,,,
523,486,35,0.08,1
,,,,
802,512,26,0.57,1
,,,,
802,512,26,0.57,1
,,,,
529,473,17,0.12,1
,,,,
614,448,40,0.37,1
,,,,
434,416,34,0.04,1
,,,,
802,512,26,0.57,1
,,,,
802,512,26,0.57,1
,,,,
529,473,17,0.12,1
,,,,
614,448,40,0.37,1
,,,,
434,416,34,0.04,1
,,,,
802,512,26,0.57,1
,,,,
802,512,26,0.57,1
,,,,
529,473,17,0.12,1
,,,,
614,448,40,0.37,1
,,,,
434,416,34,0.04,1
,,,,
802,512,26,0.57,1
,,,,
802,512,26,0.57,1
,,,,
529,473,17,0.12,1
,,,,
614,448,40,0.37,1
,,,,
434,416,34,0.04,1
,,,,
802,512,26,0.57,1
,,,,
802,512,26,0.57,1
,,,,
529,473,17,0.12,1
,,,,
614,448,40,0.37,1
,,,,
434,416,34,0.04,1
,,,,
298,298,1,0,1
,,,,
178,178,1,0,1
,,,,
298,298,1,0,1
,,,,
178,178,1,0,1
,,,,
298,298,1,0,1
,,,,
178,178,1,0,1
,,,,
1122,1362,2,-0.18,1
,,,,
1122,1362,2,-0.18,1
,,,,
1122,1362,2,-0.18,1
,,,,
1122,1362,2,-0.18,1
,,,,
1207,1229,4,-0.02,1
,,,,
1082,1184,4,-0.09,1
,,,,
888,1171,4,-0.24,1
,,,,
1207,1229,4,-0.02,1
,,,,
1082,1184,4,-0.09,1
,,,,
888,1171,4,-0.24,1
,,,,
1207,1229,4,-0.02,1
,,,,
1082,1184,4,-0.09,1
,,,,
888,1171,4,-0.24,1
,,,,
266,245,4,0.09,1
,,,,
909,838,26,0.08,1
,,,,
680,813,27,-0.16,1
,,,,
909,838,26,0.08,1
,,,,
680,813,27,-0.16,1
,,,,
451,435,49,0.04,1
,,,,
357,351,43,0.02,1
,,,,
451,435,49,0.04,1
,,,,
357,351,43,0.02,1
,,,,
405,432,48,-0.06,1
,,,,
383,393,45,-0.03,1
,,,,
392,369,43,0.06,1
,,,,
391,337,39,0.16,1
,,,,
383,393,45,-0.03,1
,,,,
392,369,43,0.06,1
,,,,
391,337,39,0.16,1
,,,,
383,393,45,-0.03,1
,,,,
392,369,43,0.06,1
,,,,
391,337,39,0.16,1
,,,,
896,843,2,0.06,1
,,,,
896,843,2,0.06,1
,,,,
896,843,2,0.06,1
,,,,
896,843,2,0.06,1
,,,,
1196,1071,2,0.12,1
,,,,
1454,1304,10,0.12,1
,,,,
3052,2892,12,0.06,1
,,,,
354,338,39,0.05,1
,,,,
899,957,4,-0.06,1
,,,,
1506,1408,9,0.07,1
,,,,
1721,1777,13,-0.03,1
,,,,
3181,3181,1,0,1
,,,,
495,367,42,0.35,1
,,,,
409,350,43,0.17,1
,,,,
495,367,42,0.35,1
,,,,
409,350,43,0.17,1
,,,,
167,290,30,-0.42,1
,,,,
875,861,12,0.02,1
,,,,
73,73,1,0,1
,,,,
77,77,1,0,1
,,,,
93,93,1,0,1
,,,,
225,265,14,-0.15,1
,,,,
478,478,1,0,1
,,,,
2527,2527,1,0,1
,,,,
2527,2527,1,0,1
,,,,
2998,1612,3,0.86,1
,,,,
2591,1679,3,0.54,1
,,,,
2527,2527,1,0,1
,,,,
2527,2527,1,0,1
,,,,
2998,1612,3,0.86,1
,,,,
2591,1679,3,0.54,1
,,,,
2527,2527,1,0,1
,,,,
2527,2527,1,0,1
,,,,
2998,1612,3,0.86,1
,,,,
2591,1679,3,0.54,1
,,,,
2527,2527,1,0,1
,,,,
2527,2527,1,0,1
,,,,
2998,1612,3,0.86,1
,,,,
2591,1679,3,0.54,1
,,,,
363,351,8,0.03,1
,,,,
352,332,8,0.06,1
,,,,
363,351,8,0.03,1
,,,,
352,332,8,0.06,1
,,,,
245,299,7,-0.18,1
,,,,
1080,689,5,0.57,1
,,,,
1538,1908,5,-0.19,1
,,,,
1538,1908,5,-0.19,1
,,,,
1538,1908,5,-0.19,1
,,,,
1538,1908,5,-0.19,1
,,,,
1372,1372,3,0,1
,,,,
1372,1372,3,0,1
,,,,
1372,1372,3,0,1
,,,,
1372,1372,3,0,1
,,,,
548,548,1,0,1
,,,,
3590,3590,1,0,1
,,,,
3818,1623,6,1.35,1
,,,,
334,372,19,-0.1,1
,,,,
615,393,14,0.56,1
,,,,
618,370,30,0.67,1
,,,,
334,372,19,-0.1,1
,,,,
615,393,14,0.56,1
,,,,
618,370,30,0.67,1
,,,,
334,372,19,-0.1,1
,,,,
615,393,14,0.56,1
,,,,
618,370,30,0.67,1
,,,,
1214,1214,1,0,1
,,,,
314,314,1,0,1
,,,,
387,388,21,0,1
,,,,
591,681,24,-0.13,1
,,,,
1033,1044,8,-0.01,1
,,,,
1196,1021,14,0.17,1
,,,,
1033,1044,8,-0.01,1
,,,,
1196,1021,14,0.17,1
,,,,
652,677,24,-0.04,1
,,,,
644,516,23,0.25,1
,,,,
577,479,27,0.2,1
,,,,
418,368,9,0.14,1
,,,,
644,516,23,0.25,1
,,,,
577,479,27,0.2,1
,,,,
418,368,9,0.14,1
,,,,
644,516,23,0.25,1
,,,,
577,479,27,0.2,1
,,,,
418,368,9,0.14,1
,,,,
781,800,2,-0.02,1
,,,,
1307,753,3,0.74,1
,,,,
1156,837,3,0.38,1
,,,,
904,839,5,0.08,1
,,,,
781,800,2,-0.02,1
,,,,
1307,753,3,0.74,1
,,,,
1156,837,3,0.38,1
,,,,
904,839,5,0.08,1
,,,,
781,800,2,-0.02,1
,,,,
1307,753,3,0.74,1
,,,,
1156,837,3,0.38,1
,,,,
904,839,5,0.08,1
,,,,
781,800,2,-0.02,1
,,,,
1307,753,3,0.74,1
,,,,
1156,837,3,0.38,1
,,,,
904,839,5,0.08,1
,,,,
607,511,22,0.19,1
,,,,
521,487,29,0.07,1
,,,,
526,491,31,0.07,1
,,,,
493,484,35,0.02,1
,,,,
607,511,22,0.19,1
,,,,
521,487,29,0.07,1
,,,,
526,491,31,0.07,1
,,,,
493,484,35,0.02,1
,,,,
607,511,22,0.19,1
,,,,
521,487,29,0.07,1
,,,,
526,491,31,0.07,1
,,,,
493,484,35,0.02,1
,,,,
607,511,22,0.19,1
,,,,
521,487,29,0.07,1
,,,,
526,491,31,0.07,1
,,,,
493,484,35,0.02,1
,,,,
827,827,3,0,1
,,,,
827,827,3,0,1
,,,,
1123,953,3,0.18,1
,,,,
823,823,3,0,1
,,,,
827,827,3,0,1
,,,,
827,827,3,0,1
,,,,
1123,953,3,0.18,1
,,,,
823,823,3,0,1
,,,,
827,827,3,0,1
,,,,
827,827,3,0,1
,,,,
1123,953,3,0.18,1
,,,,
823,823,3,0,1
,,,,
827,827,3,0,1
,,,,
827,827,3,0,1
,,,,
1123,953,3,0.18,1
,,,,
823,823,3,0,1
,,,,
978,1293,4,-0.24,1
,,,,
471,471,38,0,1
,,,,
287,415,34,-0.31,1
,,,,
471,471,38,0,1
,,,,
287,415,34,-0.31,1
,,,,
375,393,45,-0.05,1
,,,,
262,369,43,-0.29,1
,,,,
375,393,45,-0.05,1
,,,,
262,369,43,-0.29,1
,,,,
756,801,25,-0.06,1
,,,,
1507,1547,7,-0.03,1
,,,,
239,239,1,0,1
,,,,
186,186,1,0,1
,,,,
239,239,1,0,1
,,,,
186,186,1,0,1
,,,,
990,990,1,0,1
,,,,
1505,1505,1,0,1
,,,,
1392,1514,2,-0.08,1
,,,,
1505,1505,1,0,1
,,,,
1392,1514,2,-0.08,1
,,,,
349,377,5,-0.07,1
,,,,
341,341,2,0,1
,,,,
341,341,2,0,1
,,,,
265,265,2,0,1
,,,,
259,259,2,0,1
,,,,
341,341,2,0,1
,,,,
341,341,2,0,1
,,,,
265,265,2,0,1
,,,,
259,259,2,0,1
,,,,
341,341,2,0,1
,,,,
341,341,2,0,1
,,,,
265,265,2,0,1
,,,,
259,259,2,0,1
,,,,
341,341,2,0,1
,,,,
341,341,2,0,1
,,,,
265,265,2,0,1
,,,,
259,259,2,0,1
,,,,
371,371,1,0,1
,,,,
3808,3808,1,0,1
,,,,
3964,3964,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3808,3808,1,0,1
,,,,
3964,3964,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3808,3808,1,0,1
,,,,
3964,3964,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3808,3808,1,0,1
,,,,
3964,3964,1,0,1
,,,,
3288,3288,1,0,1
,,,,
3288,3288,1,0,1
,,,,
9445,9445,1,0,1
,,,,
9966,9966,1,0,1
,,,,
750,730,8,0.03,1
,,,,
623,673,8,-0.07,1
,,,,
750,730,8,0.03,1
,,,,
623,673,8,-0.07,1
,,,,
209,209,1,0,1
,,,,
299,416,38,-0.28,1
,,,,
213,228,5,-0.07,1
,,,,
12798,12798,1,0,1
,,,,
2708,2708,1,0,1
,,,,
12471,12471,1,0,1
,,,,
12471,12471,1,0,1
,,,,
10385,10385,1,0,1
,,,,
33254,33254,1,0,1
,,,,
12798,12798,1,0,1
,,,,
2708,2708,1,0,1
,,,,
12471,12471,1,0,1
,,,,
12471,12471,1,0,1
,,,,
10385,10385,1,0,1
,,,,
33254,33254,1,0,1
,,,,
12798,12798,1,0,1
,,,,
2708,2708,1,0,1
,,,,
12471,12471,1,0,1
,,,,
12471,12471,1,0,1
,,,,
10385,10385,1,0,1
,,,,
33254,33254,1,0,1
,,,,
12798,12798,1,0,1
,,,,
2708,2708,1,0,1
,,,,
12471,12471,1,0,1
,,,,
12471,12471,1,0,1
,,,,
10385,10385,1,0,1
,,,,
33254,33254,1,0,1
,,,,
12798,12798,1,0,1
,,,,
2708,2708,1,0,1
,,,,
12471,12471,1,0,1
,,,,
12471,12471,1,0,1
,,,,
10385,10385,1,0,1
,,,,
33254,33254,1,0,1
,,,,
12798,12798,1,0,1
,,,,
2708,2708,1,0,1
,,,,
12471,12471,1,0,1
,,,,
12471,12471,1,0,1
,,,,
10385,10385,1,0,1
,,,,
33254,33254,1,0,1
,,,,
495,363,3,0.36,1
,,,,
450,316,3,0.42,1
,,,,
495,363,3,0.36,1
,,,,
450,316,3,0.42,1
,,,,
730,773,2,-0.06,1
,,,,
989,802,3,0.23,1
,,,,
741,784,4,-0.05,1
,,,,
730,773,2,-0.06,1
,,,,
989,802,3,0.23,1
,,,,
741,784,4,-0.05,1
,,,,
730,773,2,-0.06,1
,,,,
989,802,3,0.23,1
,,,,
741,784,4,-0.05,1
,,,,
343,417,7,-0.18,1
,,,,
618,697,3,-0.11,1
,,,,
783,772,17,0.01,1
,,,,
1018,1072,14,-0.05,1
,,,,
451,471,38,-0.04,1
,,,,
943,870,19,0.08,1
,,,,
338,338,39,0,1
,,,,
341,428,49,-0.2,1
,,,,
442,374,26,0.18,1
,,,,
421,375,29,0.12,1
,,,,
442,374,26,0.18,1
,,,,
421,375,29,0.12,1
,,,,
374,393,16,-0.05,1
,,,,
350,363,43,-0.04,1
,,,,
240,321,39,-0.25,1
,,,,
374,393,16,-0.05,1
,,,,
350,363,43,-0.04,1
,,,,
240,321,39,-0.25,1
,,,,
374,393,16,-0.05,1
,,,,
350,363,43,-0.04,1
,,,,
240,321,39,-0.25,1
,,,,
216,216,1,0,1
,,,,
216,216,1,0,1
,,,,
216,216,1,0,1
,,,,
216,216,1,0,1
,,,,
423,423,1,0,1
,,,,
423,423,1,0,1
,,,,
423,423,1,0,1
,,,,
423,423,1,0,1
,,,,
428,428,1,0,1
,,,,
428,428,1,0,1
,,,,
428,428,1,0,1
,,,,
428,428,1,0,1
,,,,
722,722,1,0,1
,,,,
722,722,1,0,1
,,,,
722,722,1,0,1
,,,,
722,722,1,0,1
,,,,
294,344,16,-0.15,1
,,,,
294,344,16,-0.15,1
,,,,
294,344,16,-0.15,1
,,,,
294,344,16,-0.15,1
,,,,
2204,2204,1,0,1
,,,,
2204,2204,1,0,1
,,,,
2204,2204,1,0,1
,,,,
2204,2204,1,0,1
,,,,
4851,4851,1,0,1
,,,,
7120,7120,1,0,1
,,,,
4851,4851,1,0,1
,,,,
7120,7120,1,0,1
,,,,
420,485,33,-0.13,1
,,,,
729,750,6,-0.03,1
,,,,
976,976,1,0,1
,,,,
976,976,1,0,1
,,,,
976,976,1,0,1
,,,,
976,976,1,0,1
,,,,
6169,6169,1,0,1
,,,,
13571,20693,2,-0.34,1
,,,,
13571,20693,2,-0.34,1
,,,,
99670,99670,1,0,1
,,,,
230,230,2,0,1
,,,,
225,225,2,0,1
,,,,
230,230,2,0,1
,,,,
225,225,2,0,1
,,,,
350,350,2,0,1
,,,,
353,353,1,0,1
,,,,
300,300,1,0,1
,,,,
348,348,2,0,1
,,,,
350,350,2,0,1
,,,,
353,353,1,0,1
,,,,
300,300,1,0,1
,,,,
348,348,2,0,1
,,,,
350,350,2,0,1
,,,,
353,353,1,0,1
,,,,
300,300,1,0,1
,,,,
348,348,2,0,1
,,,,
350,350,2,0,1
,,,,
353,353,1,0,1
,,,,
300,300,1,0,1
,,,,
348,348,2,0,1
,,,,
2902,2902,1,0,1
,,,,
82098,82098,1,0,1
,,,,
82098,82098,1,0,1
,,,,
82098,82098,1,0,1
,,,,
2088,2088,3,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
17680,17680,1,0,1
,,,,
40838,40838,1,0,1
,,,,
40838,40838,1,0,1
,,,,
99733,99733,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99690,99690,1,0,1
,,,,
99674,99674,1,0,1
,,,,
352,352,1,0,1
,,,,
352,352,1,0,1
,,,,
547,547,1,0,1
,,,,
547,547,1,0,1
,,,,
547,547,1,0,1
,,,,
547,547,1,0,1
,,,,
613,613,1,0,1
,,,,
340,341,3,0,1
,,,,
758,751,2,0.01,1
,,,,
306,522,2,-0.41,1
,,,,
758,751,2,0.01,1
,,,,
306,522,2,-0.41,1
,,,,
454,390,2,0.16,1
,,,,
454,390,2,0.16,1
,,,,
454,390,2,0.16,1
,,,,
454,390,2,0.16,1
,,,,
454,390,2,0.16,1
,,,,
454,390,2,0.16,1
,,,,
598,676,2,-0.12,1
,,,,
1870,1618,6,0.16,1
,,,,
397,432,48,-0.08,1
,,,,
340,338,39,0.01,1
,,,,
397,432,48,-0.08,1
,,,,
340,338,39,0.01,1
,,,,
824,826,10,0,1
,,,,
682,738,7,-0.08,1
,,,,
655,673,8,-0.03,1
,,,,
682,738,7,-0.08,1
,,,,
655,673,8,-0.03,1
,,,,
165,155,3,0.06,1
,,,,
807,807,1,0,1
,,,,
807,807,1,0,1
,,,,
807,807,1,0,1
